 6.5453814285986422e-01 dof=129   DMX_0 n=24    x=2.32379    y=4          -5.4688137908615816e-16
 1.2625237406323106e-13 dof=130   DMY_0 n=24    x=2.32379    y=4          -2.3289284807814229e-13
-9.6919321618860224e+01 dof=131    P_0 n=24    x=2.32379    y=4           9.9286296445774213e-14
 0.0000000000000000e+00 dof=132   VX_0 n=25    x=1.54919    y=4           0.0000000000000000e+00
 0.0000000000000000e+00 dof=133   VY_0 n=25    x=1.54919    y=4           0.0000000000000000e+00
 4.3331531143613461e-01 dof=134   DMX_0 n=25    x=1.54919    y=4           6.1910594261888652e-16
 1.2697619794452593e-13 dof=135   DMY_0 n=25    x=1.54919    y=4          -2.1791358770565430e-13
-6.4960846911408311e+01 dof=136    P_0 n=25    x=1.54919    y=4           1.9690802238707908e-13
 0.0000000000000000e+00 dof=137   VX_0 n=26    x=0.774597   y=4           0.0000000000000000e+00
 0.0000000000000000e+00 dof=138   VY_0 n=26    x=0.774597   y=4           0.0000000000000000e+00
 2.1605587370555124e-01 dof=139   DMX_0 n=26    x=0.774597   y=4           1.7797990169157912e-16
 1.2629430298544240e-13 dof=140   DMY_0 n=26    x=0.774597   y=4          -1.3836203524448968e-13
-2.9863561313900338e+01 dof=141    P_0 n=26    x=0.774597   y=4           2.7277941277563480e-13
-9.9990701721803489e+01 dof=142   VX_0 n=27    x=0          y=0           1.6688806188769779e-12
 1.3488990881587013e+00 dof=143   VY_0 n=27    x=0          y=0           1.6265920102941357e-11
 0.0000000000000000e+00 dof=144   DMX_0 n=27    x=0          y=0           0.0000000000000000e+00
 0.0000000000000000e+00 dof=145   DMY_0 n=27    x=0          y=0           0.0000000000000000e+00
-3.1336094656168081e+00 dof=146    P_0 n=27    x=0          y=0          -1.8903478429585506e-12
-0.0000000000000000e+00 dof=147    K_0 n=27    x=0          y=0           0.0000000000000000e+00
 9.9012768804120715e+03 dof=148   TENS_0 n=27    x=0          y=0          -1.5853429620014383e-14
 1.4665848493418400e+01 dof=149   VX_0 n=28    x=0          y=3.6        -1.1587167290685694e-13
-8.9052173907106306e-06 dof=150   VY_0 n=28    x=0          y=3.6        -2.7357364683008996e-20
 1.2863042712943212e-13 dof=151   DMX_0 n=28    x=0          y=3.6         1.0036922519217164e-23
 2.4273291417326536e-04 dof=152   DMY_0 n=28    x=0          y=3.6        -9.9350204166892330e-15
-1.0478351940702938e+01 dof=153    P_0 n=28    x=0          y=3.6        -2.4765924594100788e-14
 2.3188472684091916e+01 dof=154   VX_0 n=29    x=0          y=3.2        -9.2272821301637096e-14
 3.5616807239838009e-05 dof=155   VY_0 n=29    x=0          y=3.2         1.3095584512487009e-19
 1.2844008000393645e-13 dof=156   DMX_0 n=29    x=0          y=3.2         1.0108850483561316e-23
 3.9064850331435363e-04 dof=157   DMY_0 n=29    x=0          y=3.2        -2.0318760135701085e-14
-8.9019380338645497e+00 dof=158    P_0 n=29    x=0          y=3.2        -1.8237937071988195e-14
 2.6402903066835506e+01 dof=159   VX_0 n=30    x=0          y=2.8        -9.3542712252002414e-14
-1.3353606500013542e-04 dof=160   VY_0 n=30    x=0          y=2.8        -6.6174188666077038e-19
 1.2814734317132637e-13 dof=161   DMX_0 n=30    x=0          y=2.8         1.0224118535283643e-23
 3.7257447189657751e-04 dof=162   DMY_0 n=30    x=0          y=2.8        -3.0283095863258676e-14
-8.4742136853102679e+00 dof=163    P_0 n=30    x=0          y=2.8        -1.0112336983737058e-13
 2.4398550495751728e+01 dof=164   VX_0 n=31    x=0          y=2.4        -1.8876133079519618e-15
 4.9841141367451558e-04 dof=165   VY_0 n=31    x=0          y=2.4         3.2379644729321351e-18
 1.2777470306329960e-13 dof=166   DMX_0 n=31    x=0          y=2.4         1.0368354991828955e-23
 1.5383926742379645e-04 dof=167   DMY_0 n=31    x=0          y=2.4        -3.9434241578778830e-14
-8.4538771661725711e+00 dof=168    P_0 n=31    x=0          y=2.4        -2.2762790209070517e-13
 1.7154421194503595e+01 dof=169   VX_0 n=32    x=0          y=2           8.1310363058479080e-14
-1.8597089797924259e-03 dof=170   VY_0 n=32    x=0          y=2          -1.8291695308453843e-17
 1.2734490385203165e-13 dof=171   DMX_0 n=32    x=0          y=2           1.0521065193083631e-23
-2.5073675829445202e-04 dof=172   DMY_0 n=32    x=0          y=2          -4.7488819128643649e-14
-8.5491289157380557e+00 dof=173    P_0 n=32    x=0          y=2          -3.1197337409330560e-13
 4.6366750973675028e+00 dof=174   VX_0 n=33    x=0          y=1.6         1.4837384008523920e-13
 6.9395431886332404e-03 dof=175   VY_0 n=33    x=0          y=1.6         1.4660369261100368e-16
 1.2687561292868194e-13 dof=176   DMX_0 n=33    x=0          y=1.6         1.0656250892523357e-23
-7.6488115610982941e-04 dof=177   DMY_0 n=33    x=0          y=1.6        -5.4188094731919275e-14
-8.7822001963260359e+00 dof=178    P_0 n=33    x=0          y=1.6        -4.3223628382573386e-13
-1.3191017463141133e+01 dof=179   VX_0 n=34    x=0          y=1.2         2.3870527439470831e-13
-2.5899575753454585e-02 dof=180   VY_0 n=34    x=0          y=1.2        -2.9330334901229974e-16
 1.2636888093729840e-13 dof=181   DMX_0 n=34    x=0          y=1.2         1.0743674897732489e-23
-1.2419827548413981e-03 dof=182   DMY_0 n=34    x=0          y=1.2        -5.9200004243287419e-14
-8.9919495590192700e+00 dof=183    P_0 n=34    x=0          y=1.2        -6.7899922297087334e-13
-3.6458025962663818e+01 dof=184   VX_0 n=35    x=0          y=0.8         2.7969375558005594e-13
 9.6687749901516101e-02 dof=185   VY_0 n=35    x=0          y=0.8         5.3167792978763004e-16
 1.2578660000744553e-13 dof=186   DMX_0 n=35    x=0          y=0.8         1.0749231474523632e-23
-1.4604443718353607e-03 dof=187   DMY_0 n=35    x=0          y=0.8        -6.2286930824011780e-14
-9.6093625232884943e+00 dof=188    P_0 n=35    x=0          y=0.8        -1.2365327234598872e-12
-6.5221285034092020e+01 dof=189   VX_0 n=36    x=0          y=0.4         2.3551012244706839e-13
-3.6107933688641503e-01 dof=190   VY_0 n=36    x=0          y=0.4        -1.2328465683800096e-15
